Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Calcium-42 (Z=20 A=42),Predict: R+vx->f,f_Hz,3.5082e-18,1.36006e+22,299792,1.36006e+22,4.27274e+22,1.36006e+22,3.5082e-18,1.10213e-17,3.5082e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=42 | Rc=3.5082fm | src=Angeli2013 | BE=361.895MeV
Calcium-43 (Z=20 A=43),Predict: R+vx->f,f_Hz,3.4849e-18,1.36915e+22,299792,1.36915e+22,4.30131e+22,1.36915e+22,3.4849e-18,1.09481e-17,3.4849e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=43 | Rc=3.4849fm | src=Angeli2013 | BE=369.828MeV
Calcium-44 (Z=20 A=44),Predict: R+vx->f,f_Hz,3.5167e-18,1.35677e+22,299792,1.35677e+22,4.26241e+22,1.35677e+22,3.5167e-18,1.1048e-17,3.5167e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=44 | Rc=3.5167fm | src=Angeli2013 | BE=380.96MeV
Calcium-46 (Z=20 A=46),Predict: R+vx->f,f_Hz,3.507e-18,1.36052e+22,299792,1.36052e+22,4.2742e+22,1.36052e+22,3.507e-18,1.10176e-17,3.507e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=46 | Rc=3.507fm | src=Angeli2013 | BE=398.767MeV
Calcium-48 (Z=20 A=48),Predict: R+vx->f,f_Hz,3.4771e-18,1.37222e+22,299792,1.37222e+22,4.31096e+22,1.37222e+22,3.4771e-18,1.09236e-17,3.4771e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=48 | Rc=3.4771fm | src=Angeli2013 | BE=415.987MeV
Titanium-46 (Z=22 A=46),Predict: R+vx->f,f_Hz,3.607e-18,1.3228e+22,299792,1.3228e+22,4.1557e+22,1.3228e+22,3.607e-18,1.13317e-17,3.607e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=22 A=46 | Rc=3.607fm | src=Angeli2013 | BE=398.189MeV
Titanium-47 (Z=22 A=47),Predict: R+vx->f,f_Hz,3.613e-18,1.3206e+22,299792,1.3206e+22,4.1488e+22,1.3206e+22,3.613e-18,1.13506e-17,3.613e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=22 A=47 | Rc=3.613fm | src=Angeli2013 | BE=407.074MeV
Titanium-48 (Z=22 A=48),Predict: R+vx->f,f_Hz,3.6074e-18,1.32265e+22,299792,1.32265e+22,4.15524e+22,1.32265e+22,3.6074e-18,1.1333e-17,3.6074e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=22 A=48 | Rc=3.6074fm | src=Angeli2013 | BE=418.7MeV
Titanium-49 (Z=22 A=49),Predict: R+vx->f,f_Hz,3.614e-18,1.32024e+22,299792,1.32024e+22,4.14765e+22,1.32024e+22,3.614e-18,1.13537e-17,3.614e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=22 A=49 | Rc=3.614fm | src=Angeli2013 | BE=426.838MeV
Titanium-50 (Z=22 A=50),Predict: R+vx->f,f_Hz,3.6316e-18,1.31384e+22,299792,1.31384e+22,4.12755e+22,1.31384e+22,3.6316e-18,1.1409e-17,3.6316e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=22 A=50 | Rc=3.6316fm | src=Angeli2013 | BE=437.78MeV
