Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Selenium-77 (Z=34 A=77),Map:     f+R->vx,vx_kms,4.1009e-18,1.62724e+23,4.19287e+06,1.62724e+23,5.11214e+23,1.62724e+23,4.1009e-18,1.28834e-17,4.1009e-18,4.19287e+06,1.33463e+06,4.19287e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0715005,unresolved nearest=1 (92.8%),C1,Z=34 A=77 | Rc=4.1009fm | src=Angeli2013 | BE=672.974MeV
Selenium-78 (Z=34 A=78),Map:     f+R->vx,vx_kms,4.1115e-18,1.65238e+23,4.26866e+06,1.65238e+23,5.19112e+23,1.65238e+23,4.1115e-18,1.29167e-17,4.1115e-18,4.26866e+06,1.35876e+06,4.26866e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0702311,unresolved nearest=1 (93.0%),C1,Z=34 A=78 | Rc=4.1115fm | src=Angeli2013 | BE=683.371MeV
Selenium-80 (Z=34 A=80),Map:     f+R->vx,vx_kms,4.1281e-18,1.69479e+23,4.39587e+06,1.69479e+23,5.32433e+23,1.69479e+23,4.1281e-18,1.29688e-17,4.1281e-18,4.39587e+06,1.39925e+06,4.39587e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0681987,unresolved nearest=1 (93.2%),C1,Z=34 A=80 | Rc=4.1281fm | src=Angeli2013 | BE=700.907MeV
Selenium-82 (Z=34 A=82),Map:     f+R->vx,vx_kms,4.1361e-18,1.73359e+23,4.50524e+06,1.73359e+23,5.44624e+23,1.73359e+23,4.1361e-18,1.29939e-17,4.1361e-18,4.50524e+06,1.43406e+06,4.50524e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0665431,unresolved nearest=1 (93.3%),C1,Z=34 A=82 | Rc=4.1361fm | src=Angeli2013 | BE=716.956MeV
Krypton-78 (Z=36 A=78),Map:     f+R->vx,vx_kms,4.144e-18,1.65894e+23,4.31948e+06,1.65894e+23,5.21173e+23,1.65894e+23,4.144e-18,1.30188e-17,4.144e-18,4.31948e+06,1.37493e+06,4.31948e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0694048,unresolved nearest=1 (93.1%),C1,Z=36 A=78 | Rc=4.144fm | src=Angeli2013 | BE=686.084MeV
Krypton-80 (Z=36 A=80),Map:     f+R->vx,vx_kms,4.1768e-18,1.70467e+23,4.47367e+06,1.70467e+23,5.35538e+23,1.70467e+23,4.1768e-18,1.31218e-17,4.1768e-18,4.47367e+06,1.42401e+06,4.47367e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0670126,unresolved nearest=1 (93.3%),C1,Z=36 A=80 | Rc=4.1768fm | src=Angeli2013 | BE=704.995MeV
Krypton-82 (Z=36 A=82),Map:     f+R->vx,vx_kms,4.1999e-18,1.75161e+23,4.62227e+06,1.75161e+23,5.50283e+23,1.75161e+23,4.1999e-18,1.31944e-17,4.1999e-18,4.62227e+06,1.47131e+06,4.62227e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0648583,unresolved nearest=1 (93.5%),C1,Z=36 A=82 | Rc=4.1999fm | src=Angeli2013 | BE=724.406MeV
Krypton-83 (Z=36 A=83),Map:     f+R->vx,vx_kms,4.2046e-18,1.77058e+23,4.67757e+06,1.77058e+23,5.56245e+23,1.77058e+23,4.2046e-18,1.32091e-17,4.2046e-18,4.67757e+06,1.48892e+06,4.67757e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0640914,unresolved nearest=1 (93.6%),C1,Z=36 A=83 | Rc=4.2046fm | src=Angeli2013 | BE=732.254MeV
Krypton-84 (Z=36 A=84),Map:     f+R->vx,vx_kms,4.2173e-18,1.79431e+23,4.75456e+06,1.79431e+23,5.63698e+23,1.79431e+23,4.2173e-18,1.3249e-17,4.2173e-18,4.75456e+06,1.51342e+06,4.75456e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0630536,unresolved nearest=1 (93.7%),C1,Z=36 A=84 | Rc=4.2173fm | src=Angeli2013 | BE=742.065MeV
Krypton-86 (Z=36 A=86),Map:     f+R->vx,vx_kms,4.2402e-18,1.8325e+23,4.88213e+06,1.8325e+23,5.75696e+23,1.8325e+23,4.2402e-18,1.3321e-17,4.2402e-18,4.88213e+06,1.55403e+06,4.88213e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.061406,unresolved nearest=1 (93.9%),C1,Z=36 A=86 | Rc=4.2402fm | src=Angeli2013 | BE=757.86MeV
