Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,T1_Cl_Summary,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Diamond C-C bond,Map:     f+R->vx,vx_kms,1.54e-13,2.72507e+15,2636.81,2.72507e+15,8.56107e+15,2.72507e+15,1.54e-13,4.83805e-13,1.54e-13,2636.81,839.323,2636.81,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,113.695,1/alpha (err=17.03%),C1,Diamond carbon-carbon bond 154pm bandgap-related ~11eV
Graphene C-C in-plane,Map:     f+R->vx,vx_kms,1.42e-13,1.11228e+15,992.385,1.11228e+15,3.49432e+15,1.11228e+15,1.42e-13,4.46106e-13,1.42e-13,992.385,315.886,992.385,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,302.093,2/alpha (err=10.22%),C1,Graphene C-C 142pm work function 4.6eV
Benzene C-C aromatic,Map:     f+R->vx,vx_kms,1.39e-13,2.23422e+15,1951.29,2.23422e+15,7.01902e+15,2.23422e+15,1.39e-13,4.36681e-13,1.39e-13,1951.29,621.114,1951.29,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,153.638,1/alpha (err=12.12%),C1,Benzene aromatic 139pm IE 9.24eV
DNA base pair distance,Map:     f+R->vx,vx_kms,3.4e-13,8.46296e+14,1807.93,8.46296e+14,2.65872e+15,8.46296e+14,3.4e-13,1.06814e-12,3.4e-13,1807.93,575.481,1807.93,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,165.821,1/alpha (err=21.01%),C1,DNA stacking 340pm pi-stacking energy ~3.5eV scale
Alpha particle (He-4 nucleus),Map:     f+R->vx,vx_kms,1.6755e-18,6.84187e+21,72027.6,6.84187e+21,2.14944e+22,6.84187e+21,1.6755e-18,5.26374e-18,1.6755e-18,72027.6,22927.1,72027.6,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,4.16219,phi^3 (err=1.74%),C1,Same as He-4 nuclide entry but flagged as alpha - reference check
Deuteron (D nucleus),Map:     f+R->vx,vx_kms,2.1421e-18,5.37906e+20,7239.79,5.37906e+20,1.68988e+21,5.37906e+20,2.1421e-18,6.72961e-18,2.1421e-18,7239.79,2304.5,7239.79,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,41.409,phi^9 (err=45.52%),C1,Deuteron R=2.1421fm BE=2.2246MeV
Triton (H-3),Map:     f+R->vx,vx_kms,1.7591e-18,2.05089e+21,22668,2.05089e+21,6.44306e+21,2.05089e+21,1.7591e-18,5.52638e-18,1.7591e-18,22668,7215.44,22668,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,13.2254,phi^6 (err=26.30%),C1,Tritium nucleus R=1.7591fm BE=8.4818MeV src=Angeli2013
He-6 (halo nucleus),Map:     f+R->vx,vx_kms,2.068e-18,7.07794e+21,91968.1,7.07794e+21,2.2236e+22,7.07794e+21,2.068e-18,6.49681e-18,2.068e-18,91968.1,29274.4,91968.1,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,3.25974,pi (err=3.76%),C1,He-6 neutron-halo nucleus Rc=2.068fm BE=29.272MeV
Li-11 (halo nucleus),Map:     f+R->vx,vx_kms,3.434e-18,1.84251e+22,397548,1.84251e+22,5.78841e+22,1.84251e+22,3.434e-18,1.07882e-17,3.434e-18,397548,126543,397548,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.754104,1 (err=24.59%),C1,Li-11 two-neutron halo Rc=3.434fm BE=76.20MeV
Be-11 (halo nucleus),Map:     f+R->vx,vx_kms,2.463e-18,1.58328e+22,245020,1.58328e+22,4.97401e+22,1.58328e+22,2.463e-18,7.73774e-18,2.463e-18,245020,77992.1,245020,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1.22355,pi/2 (err=22.11%),C1,Be-11 one-neutron halo
C-14 radioactive,Map:     f+R->vx,vx_kms,2.5025e-18,2.54578e+22,400290,2.54578e+22,7.9978e+22,2.54578e+22,2.5025e-18,7.86184e-18,2.5025e-18,400290,127416,400290,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.748938,1 (err=25.11%),C1,Carbon-14 Rc=2.5025fm BE=105.285MeV
Tc-99 metastable,Map:     f+R->vx,vx_kms,4.514e-18,2.06192e+23,5.84809e+06,2.06192e+23,6.47772e+23,2.06192e+23,4.514e-18,1.41811e-17,4.514e-18,5.84809e+06,1.8615e+06,5.84809e+06,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0512633,unresolved nearest=1 (94.9%),C1,Technetium-99 nuclear isomer
Cs-137 fission product,Map:     f+R->vx,vx_kms,4.804e-18,2.77898e+23,8.38818e+06,2.77898e+23,8.73042e+23,2.77898e+23,4.804e-18,1.50922e-17,4.804e-18,8.38818e+06,2.67004e+06,8.38818e+06,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0357398,unresolved nearest=1 (96.4%),C1,Cesium-137 long-lived fission product
I-131 fission product,Map:     f+R->vx,vx_kms,4.766e-18,2.66781e+23,7.98894e+06,2.66781e+23,8.38118e+23,2.66781e+23,4.766e-18,1.49728e-17,4.766e-18,7.98894e+06,2.54296e+06,7.98894e+06,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0375259,unresolved nearest=1 (96.2%),C1,Iodine-131 medical isotope
Pu-239 fissile,Map:     f+R->vx,vx_kms,5.751e-18,4.36912e+23,1.57876e+07,4.36912e+23,1.3726e+24,4.36912e+23,5.751e-18,1.80673e-17,5.751e-18,1.57876e+07,5.02536e+06,1.57876e+07,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0189891,unresolved nearest=1 (98.1%),C1,Plutonium-239 fissile isotope
Pu-244 (longest-lived Pu),Map:     f+R->vx,vx_kms,5.785e-18,4.43957e+23,1.6137e+07,4.43957e+23,1.39473e+24,4.43957e+23,5.785e-18,1.81741e-17,5.785e-18,1.6137e+07,5.13658e+06,1.6137e+07,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0185779,unresolved nearest=1 (98.1%),C1,Plutonium-244 longest-lived isotope of element 94
Cm-247,Map:     f+R->vx,vx_kms,5.843e-18,4.49563e+23,1.65047e+07,4.49563e+23,1.41235e+24,4.49563e+23,5.843e-18,1.83563e-17,5.843e-18,1.65047e+07,5.2536e+06,1.65047e+07,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0181641,unresolved nearest=1 (98.2%),C1,Curium-247 long-lived Z=96
