Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Hydrogen (H Z=1),Map:     f+R->vx,vx_kms,3.1e-14,3.28808e+15,640.448,3.28808e+15,1.03298e+16,3.28808e+15,3.1e-14,9.73894e-14,3.1e-14,640.448,203.861,640.448,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,468.098,unresolved nearest=2/alpha (70.8%),C1,Z=1 | Cov=31pm | geo=measured | IE=13.5984eV
Magnesium (Mg Z=12),Map:     f+R->vx,vx_kms,1.41e-13,1.84884e+15,1637.94,1.84884e+15,5.80831e+15,1.84884e+15,1.41e-13,4.42965e-13,1.41e-13,1637.94,521.374,1637.94,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,183.03,pi/(2alpha) (err=14.97%),C1,Z=12 | Cov=141pm | geo=measured | IE=7.6462eV
Aluminum (Al Z=13),Map:     f+R->vx,vx_kms,1.21e-13,1.44736e+15,1100.38,1.44736e+15,4.54702e+15,1.44736e+15,1.21e-13,3.80133e-13,1.21e-13,1100.38,350.261,1100.38,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,272.445,2/alpha (err=0.59%),C1,Z=13 | Cov=121pm | geo=measured | IE=5.9858eV
Silicon (Si Z=14),Map:     f+R->vx,vx_kms,1.11e-13,1.97107e+15,1374.69,1.97107e+15,6.19231e+15,1.97107e+15,1.11e-13,3.48717e-13,1.11e-13,1374.69,437.578,1374.69,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,218.08,pi/(2alpha) (err=1.31%),C1,Z=14 | Cov=111pm | geo=measured | IE=8.1517eV
Phosphorus (P Z=15),Map:     f+R->vx,vx_kms,1.07e-13,2.53567e+15,1704.73,2.53567e+15,7.96605e+15,2.53567e+15,1.07e-13,3.3615e-13,1.07e-13,1704.73,542.634,1704.73,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,175.859,pi/(2alpha) (err=18.30%),C1,Z=15 | Cov=107pm | geo=measured | IE=10.4867eV
Sulfur (S Z=16),Map:     f+R->vx,vx_kms,1.05e-13,2.50504e+15,1652.66,2.50504e+15,7.86981e+15,2.50504e+15,1.05e-13,3.29867e-13,1.05e-13,1652.66,526.058,1652.66,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,181.4,pi/(2alpha) (err=15.73%),C1,Z=16 | Cov=105pm | geo=measured | IE=10.36eV
Chlorine (Cl Z=17),Map:     f+R->vx,vx_kms,1.02e-13,3.13555e+15,2009.53,3.13555e+15,9.85063e+15,3.13555e+15,1.02e-13,3.20442e-13,1.02e-13,2009.53,639.653,2009.53,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,149.186,1/alpha (err=8.87%),C1,Z=17 | Cov=102pm | geo=measured | IE=12.9676eV
Argon (Ar Z=18),Map:     f+R->vx,vx_kms,1.06e-13,3.81065e+15,2537.96,3.81065e+15,1.19715e+16,3.81065e+15,1.06e-13,3.33009e-13,1.06e-13,2537.96,807.859,2537.96,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,118.123,1/alpha (err=13.80%),C1,Z=18 | Cov=106pm | geo=measured | IE=15.7596eV
Potassium (K Z=19),Map:     f+R->vx,vx_kms,2.03e-13,1.04958e+15,1338.72,1.04958e+15,3.29734e+15,1.04958e+15,2.03e-13,6.37743e-13,2.03e-13,1338.72,426.128,1338.72,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,223.939,pi/(2alpha) (err=4.03%),C1,Z=19 | Cov=203pm | geo=measured | IE=4.3407eV
Calcium (Ca Z=20),Map:     f+R->vx,vx_kms,1.76e-13,1.47817e+15,1634.62,1.47817e+15,4.64379e+15,1.47817e+15,1.76e-13,5.5292e-13,1.76e-13,1634.62,520.314,1634.62,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,183.402,pi/(2alpha) (err=14.80%),C1,Z=20 | Cov=176pm | geo=measured | IE=6.1132eV
Scandium (Sc Z=21),Map:     f+R->vx,vx_kms,1.7e-13,1.58656e+15,1694.67,1.58656e+15,4.98434e+15,1.58656e+15,1.7e-13,5.34071e-13,1.7e-13,1694.67,539.432,1694.67,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,176.903,pi/(2alpha) (err=17.82%),C1,Z=21 | Cov=170pm | geo=measured | IE=6.5615eV
