name,R_pm,R_fm,f_eV,f_MeV,note,fault_hint
Dubnium (Db Z=105),149,,6.8,,Z=105 cov=149pm IE=6.8eV geo=theoretical Pyykko2012,C1+G1
Seaborgium (Sg Z=106),143,,7.8,,Z=106 cov=143pm IE=7.8eV geo=theoretical Pyykko2012,C1+G1
Bohrium (Bh Z=107),141,,7.7,,Z=107 cov=141pm IE=7.7eV geo=theoretical Pyykko2012,C1+G1
Hassium (Hs Z=108),134,,7.6,,Z=108 cov=134pm IE=7.6eV geo=theoretical Pyykko2012,C1+G1
Meitnerium (Mt Z=109),129,,8.7,,Z=109 cov=129pm IE=8.7eV geo=theoretical Pyykko2012,C1+G1
Darmstadtium (Ds Z=110),128,,9.3,,Z=110 cov=128pm IE=9.3eV geo=theoretical Pyykko2012,C1+G1
Roentgenium (Rg Z=111),121,,10.6,,Z=111 cov=121pm IE=10.6eV geo=theoretical Pyykko2012,C1+G1
Copernicium (Cn Z=112),122,,12.0,,Z=112 cov=122pm IE=12.0eV geo=theoretical Pyykko2012,C1+G1
Nihonium (Nh Z=113),136,,7.3,,Z=113 cov=136pm IE=7.3eV geo=theoretical Pyykko2012,C1+G1
Flerovium (Fl Z=114),143,,8.6,,Z=114 cov=143pm IE=8.6eV geo=theoretical Pyykko2012,C1+G1
Moscovium (Mc Z=115),162,,5.8,,Z=115 cov=162pm IE=5.8eV geo=theoretical Pyykko2012,C1+G1
Livermorium (Lv Z=116),175,,7.2,,Z=116 cov=175pm IE=7.2eV geo=theoretical Pyykko2012,C1+G1
Tennessine (Ts Z=117),165,,7.7,,Z=117 cov=165pm IE=7.7eV geo=theoretical Pyykko2012,C1+G1
Oganesson (Og Z=118),157,,8.9,,Z=118 cov=157pm IE=8.9eV geo=theoretical Pyykko2012,C1+G1
Hydrogen-1 (Z=1 A=1),,0.8783,,938.272,Z=1 A=1 Rc=0.8783fm BE=938.272MeV src=Angeli2013,C1
Deuterium (Z=1 A=2),,2.1421,,2.2246,Z=1 A=2 Rc=2.1421fm BE=2.2246MeV src=Angeli2013,C1
Helium-3 (Z=2 A=3),,1.9661,,7.7181,Z=2 A=3 Rc=1.9661fm BE=7.7181MeV src=Angeli2013,C1
Helium-4 (Z=2 A=4),,1.6755,,28.2957,Z=2 A=4 Rc=1.6755fm BE=28.2957MeV src=Angeli2013,C1
Lithium-6 (Z=3 A=6),,2.5890,,31.9946,Z=3 A=6 Rc=2.5890fm BE=31.9946MeV src=Angeli2013,C1
Lithium-7 (Z=3 A=7),,2.4440,,39.2441,Z=3 A=7 Rc=2.4440fm BE=39.2441MeV src=Angeli2013,C1
Beryllium-9 (Z=4 A=9),,2.5190,,58.1651,Z=4 A=9 Rc=2.5190fm BE=58.1651MeV src=Angeli2013,C1
Boron-10 (Z=5 A=10),,2.4277,,64.7508,Z=5 A=10 Rc=2.4277fm BE=64.7508MeV src=Angeli2013,C1
Boron-11 (Z=5 A=11),,2.4050,,76.2048,Z=5 A=11 Rc=2.4050fm BE=76.2048MeV src=Angeli2013,C1
Carbon-12 (Z=6 A=12),,2.4702,,92.1617,Z=6 A=12 Rc=2.4702fm BE=92.1617MeV src=Angeli2013,C1
Carbon-13 (Z=6 A=13),,2.4614,,97.1082,Z=6 A=13 Rc=2.4614fm BE=97.1082MeV src=Angeli2013,C1
Nitrogen-14 (Z=7 A=14),,2.5582,,104.659,Z=7 A=14 Rc=2.5582fm BE=104.659MeV src=Angeli2013,C1
Nitrogen-15 (Z=7 A=15),,2.6010,,115.492,Z=7 A=15 Rc=2.6010fm BE=115.492MeV src=Angeli2013,C1
Oxygen-16 (Z=8 A=16),,2.6991,,127.619,Z=8 A=16 Rc=2.6991fm BE=127.619MeV src=Angeli2013,C1
Oxygen-17 (Z=8 A=17),,2.6931,,131.763,Z=8 A=17 Rc=2.6931fm BE=131.763MeV src=Angeli2013,C1
Oxygen-18 (Z=8 A=18),,2.7726,,139.808,Z=8 A=18 Rc=2.7726fm BE=139.808MeV src=Angeli2013,C1
Fluorine-19 (Z=9 A=19),,2.8976,,147.801,Z=9 A=19 Rc=2.8976fm BE=147.801MeV src=Angeli2013,C1
Neon-20 (Z=10 A=20),,2.9936,,160.645,Z=10 A=20 Rc=2.9936fm BE=160.645MeV src=Angeli2013,C1
Neon-21 (Z=10 A=21),,2.9587,,167.406,Z=10 A=21 Rc=2.9587fm BE=167.406MeV src=Angeli2013,C1
Neon-22 (Z=10 A=22),,3.0055,,177.770,Z=10 A=22 Rc=3.0055fm BE=177.770MeV src=Angeli2013,C1
Sodium-23 (Z=11 A=23),,2.9936,,186.564,Z=11 A=23 Rc=2.9936fm BE=186.564MeV src=Angeli2013,C1
Magnesium-24 (Z=12 A=24),,3.0570,,198.257,Z=12 A=24 Rc=3.0570fm BE=198.257MeV src=Angeli2013,C1
Magnesium-25 (Z=12 A=25),,3.0364,,205.588,Z=12 A=25 Rc=3.0364fm BE=205.588MeV src=Angeli2013,C1
Magnesium-26 (Z=12 A=26),,3.0341,,216.683,Z=12 A=26 Rc=3.0341fm BE=216.683MeV src=Angeli2013,C1
Aluminum-27 (Z=13 A=27),,3.0610,,224.952,Z=13 A=27 Rc=3.0610fm BE=224.952MeV src=Angeli2013,C1
Silicon-28 (Z=14 A=28),,3.1224,,236.537,Z=14 A=28 Rc=3.1224fm BE=236.537MeV src=Angeli2013,C1
Silicon-29 (Z=14 A=29),,3.1040,,245.010,Z=14 A=29 Rc=3.1040fm BE=245.010MeV src=Angeli2013,C1
Silicon-30 (Z=14 A=30),,3.1336,,255.621,Z=14 A=30 Rc=3.1336fm BE=255.621MeV src=Angeli2013,C1
Phosphorus-31 (Z=15 A=31),,3.1889,,262.917,Z=15 A=31 Rc=3.1889fm BE=262.917MeV src=Angeli2013,C1
Sulfur-32 (Z=16 A=32),,3.2611,,271.781,Z=16 A=32 Rc=3.2611fm BE=271.781MeV src=Angeli2013,C1
Sulfur-33 (Z=16 A=33),,3.2418,,280.423,Z=16 A=33 Rc=3.2418fm BE=280.423MeV src=Angeli2013,C1
Sulfur-34 (Z=16 A=34),,3.2858,,291.839,Z=16 A=34 Rc=3.2858fm BE=291.839MeV src=Angeli2013,C1
Sulfur-36 (Z=16 A=36),,3.3000,,308.714,Z=16 A=36 Rc=3.3000fm BE=308.714MeV src=Angeli2013,C1
Chlorine-35 (Z=17 A=35),,3.3651,,298.210,Z=17 A=35 Rc=3.3651fm BE=298.210MeV src=Angeli2013,C1
Chlorine-37 (Z=17 A=37),,3.3966,,317.105,Z=17 A=37 Rc=3.3966fm BE=317.105MeV src=Angeli2013,C1
Argon-36 (Z=18 A=36),,3.4274,,306.716,Z=18 A=36 Rc=3.4274fm BE=306.716MeV src=Angeli2013,C1
Argon-38 (Z=18 A=38),,3.4030,,327.343,Z=18 A=38 Rc=3.4030fm BE=327.343MeV src=Angeli2013,C1
Argon-40 (Z=18 A=40),,3.4274,,343.810,Z=18 A=40 Rc=3.4274fm BE=343.810MeV src=Angeli2013,C1
Potassium-39 (Z=19 A=39),,3.4349,,333.724,Z=19 A=39 Rc=3.4349fm BE=333.724MeV src=Angeli2013,C1
Potassium-40 (Z=19 A=40),,3.4539,,341.525,Z=19 A=40 Rc=3.4539fm BE=341.525MeV src=Angeli2013,C1
Potassium-41 (Z=19 A=41),,3.4511,,351.618,Z=19 A=41 Rc=3.4511fm BE=351.618MeV src=Angeli2013,C1
Calcium-40 (Z=20 A=40),,3.4776,,342.052,Z=20 A=40 Rc=3.4776fm BE=342.052MeV src=Angeli2013,C1
Calcium-42 (Z=20 A=42),,3.5082,,361.895,Z=20 A=42 Rc=3.5082fm BE=361.895MeV src=Angeli2013,C1
Calcium-43 (Z=20 A=43),,3.4849,,369.828,Z=20 A=43 Rc=3.4849fm BE=369.828MeV src=Angeli2013,C1
Calcium-44 (Z=20 A=44),,3.5167,,380.960,Z=20 A=44 Rc=3.5167fm BE=380.960MeV src=Angeli2013,C1
Calcium-46 (Z=20 A=46),,3.5070,,398.767,Z=20 A=46 Rc=3.5070fm BE=398.767MeV src=Angeli2013,C1
Calcium-48 (Z=20 A=48),,3.4771,,415.987,Z=20 A=48 Rc=3.4771fm BE=415.987MeV src=Angeli2013,C1
Titanium-46 (Z=22 A=46),,3.6070,,398.189,Z=22 A=46 Rc=3.6070fm BE=398.189MeV src=Angeli2013,C1
Titanium-47 (Z=22 A=47),,3.6130,,407.074,Z=22 A=47 Rc=3.6130fm BE=407.074MeV src=Angeli2013,C1
Titanium-48 (Z=22 A=48),,3.6074,,418.700,Z=22 A=48 Rc=3.6074fm BE=418.700MeV src=Angeli2013,C1
Titanium-49 (Z=22 A=49),,3.6140,,426.838,Z=22 A=49 Rc=3.6140fm BE=426.838MeV src=Angeli2013,C1
Titanium-50 (Z=22 A=50),,3.6316,,437.780,Z=22 A=50 Rc=3.6316fm BE=437.780MeV src=Angeli2013,C1
Chromium-50 (Z=24 A=50),,3.6588,,435.044,Z=24 A=50 Rc=3.6588fm BE=435.044MeV src=Angeli2013,C1
Chromium-52 (Z=24 A=52),,3.6645,,456.347,Z=24 A=52 Rc=3.6645fm BE=456.347MeV src=Angeli2013,C1
Chromium-53 (Z=24 A=53),,3.6737,,464.285,Z=24 A=53 Rc=3.6737fm BE=464.285MeV src=Angeli2013,C1
