Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Argon-40 (Z=18 A=40),Detect:  f+vx->R,R_km,5.73942e-19,8.31329e+22,299792,8.31329e+22,2.6117e+23,8.31329e+22,5.73942e-19,1.80309e-18,5.73942e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=18 A=40 | Rc=3.4274fm | src=Angeli2013 | BE=343.81MeV
Potassium-39 (Z=19 A=39),Detect:  f+vx->R,R_km,5.91288e-19,8.06941e+22,299792,8.06941e+22,2.53508e+23,8.06941e+22,5.91288e-19,1.85759e-18,5.91288e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=19 A=39 | Rc=3.4349fm | src=Angeli2013 | BE=333.724MeV
Potassium-40 (Z=19 A=40),Detect:  f+vx->R,R_km,5.77782e-19,8.25804e+22,299792,8.25804e+22,2.59434e+23,8.25804e+22,5.77782e-19,1.81516e-18,5.77782e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=19 A=40 | Rc=3.4539fm | src=Angeli2013 | BE=341.525MeV
Potassium-41 (Z=19 A=41),Detect:  f+vx->R,R_km,5.61197e-19,8.50209e+22,299792,8.50209e+22,2.67101e+23,8.50209e+22,5.61197e-19,1.76305e-18,5.61197e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=19 A=41 | Rc=3.4511fm | src=Angeli2013 | BE=351.618MeV
Calcium-40 (Z=20 A=40),Detect:  f+vx->R,R_km,5.76892e-19,8.27078e+22,299792,8.27078e+22,2.59834e+23,8.27078e+22,5.76892e-19,1.81236e-18,5.76892e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=40 | Rc=3.4776fm | src=Angeli2013 | BE=342.052MeV
Calcium-42 (Z=20 A=42),Detect:  f+vx->R,R_km,5.4526e-19,8.75058e+22,299792,8.75058e+22,2.74908e+23,8.75058e+22,5.4526e-19,1.71299e-18,5.4526e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=42 | Rc=3.5082fm | src=Angeli2013 | BE=361.895MeV
Calcium-43 (Z=20 A=43),Detect:  f+vx->R,R_km,5.33564e-19,8.9424e+22,299792,8.9424e+22,2.80934e+23,8.9424e+22,5.33564e-19,1.67624e-18,5.33564e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=43 | Rc=3.4849fm | src=Angeli2013 | BE=369.828MeV
Calcium-44 (Z=20 A=44),Detect:  f+vx->R,R_km,5.17973e-19,9.21157e+22,299792,9.21157e+22,2.8939e+23,9.21157e+22,5.17973e-19,1.62726e-18,5.17973e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=44 | Rc=3.5167fm | src=Angeli2013 | BE=380.96MeV
Calcium-46 (Z=20 A=46),Detect:  f+vx->R,R_km,4.94843e-19,9.64214e+22,299792,9.64214e+22,3.02917e+23,9.64214e+22,4.94843e-19,1.55459e-18,4.94843e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=46 | Rc=3.507fm | src=Angeli2013 | BE=398.767MeV
Calcium-48 (Z=20 A=48),Detect:  f+vx->R,R_km,4.74359e-19,1.00585e+23,299792,1.00585e+23,3.15998e+23,1.00585e+23,4.74359e-19,1.49024e-18,4.74359e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 A=48 | Rc=3.4771fm | src=Angeli2013 | BE=415.987MeV
